,Date,USD/USDT
0,2021-01-01,1.000614
1,2021-01-02,1.001888
2,2021-01-03,1.000427
3,2021-01-04,1.0005
4,2021-01-05,1.000174
5,2021-01-06,1.002229
6,2021-01-07,1.001448
7,2021-01-08,1.000365
8,2021-01-09,1.000014
9,2021-01-10,1.002924
10,2021-01-11,1.000252
11,2021-01-12,1.000592
12,2021-01-13,1.000491
13,2021-01-14,1.00002
14,2021-01-15,0.998977
15,2021-01-16,0.999835
16,2021-01-17,1.000227
17,2021-01-18,1.000412
18,2021-01-19,1.000769
19,2021-01-20,1.000413
20,2021-01-21,1.000697
21,2021-01-22,0.999754
22,2021-01-23,1.001362
23,2021-01-24,1.000555
24,2021-01-25,1.001454
25,2021-01-26,0.999953
26,2021-01-27,1.001102
27,2021-01-28,1.001774
28,2021-01-29,1.001297
29,2021-01-30,1.000483
30,2021-01-31,1.00122
31,2021-02-01,1.000838
32,2021-02-02,1.000645
33,2021-02-03,1.001389
34,2021-02-04,1.000989
35,2021-02-05,1.000788
36,2021-02-06,1.000127
37,2021-02-07,1.001124
38,2021-02-08,1.001241
39,2021-02-09,1.001082
40,2021-02-10,1.001268
41,2021-02-11,1.000701
42,2021-02-12,1.000467
43,2021-02-13,1.001702
44,2021-02-14,1.000803
45,2021-02-15,1.000787
46,2021-02-16,1.000263
47,2021-02-17,1.000341
48,2021-02-18,1.000362
49,2021-02-19,1.000045
50,2021-02-20,1.000228
51,2021-02-21,1.00008
52,2021-02-22,1.000312
53,2021-02-23,1.000168
54,2021-02-24,0.999995
55,2021-02-25,1.000746
56,2021-02-26,1.000075
57,2021-02-27,0.99996
58,2021-02-28,1.001221
59,2021-03-01,1.002087
60,2021-03-02,1.000418
61,2021-03-03,1.00104
62,2021-03-04,1.000398
63,2021-03-05,1.000052
64,2021-03-06,1.000782
65,2021-03-07,1.000127
66,2021-03-08,1.000313
67,2021-03-09,1.000419
68,2021-03-10,1.000681
69,2021-03-11,1.0006
70,2021-03-12,1.000554
71,2021-03-13,1.000362
72,2021-03-14,0.99983
73,2021-03-15,0.999835
74,2021-03-16,1.000359
75,2021-03-17,1.000037
76,2021-03-18,0.999031
77,2021-03-19,1.000968
78,2021-03-20,1.002766
79,2021-03-21,1.002264
80,2021-03-22,1.001136
81,2021-03-23,1.001811
82,2021-03-24,1.001024
83,2021-03-25,1.001242
84,2021-03-26,1.001033
85,2021-03-27,1.001286
86,2021-03-28,1.000503
87,2021-03-29,1.000639
88,2021-03-30,0.999804
89,2021-03-31,1.000816
90,2021-04-01,0.999983
91,2021-04-02,1.000615
92,2021-04-03,1.000508
93,2021-04-04,1.003145
94,2021-04-05,1.003438
95,2021-04-06,1.000106
96,2021-04-07,1.001607
97,2021-04-08,1.001883
98,2021-04-09,1.00066
99,2021-04-10,1.001109
100,2021-04-11,1.000524
101,2021-04-12,1.002161
102,2021-04-13,1.000019
103,2021-04-14,0.999235
104,2021-04-15,1.001496
105,2021-04-16,1.001086
106,2021-04-17,1.002434
107,2021-04-18,1.011404
108,2021-04-19,0.999953
109,2021-04-20,0.999936
110,2021-04-21,1.000092
111,2021-04-22,0.999944
112,2021-04-23,0.999946
113,2021-04-24,1.000138
114,2021-04-25,1.000136
115,2021-04-26,1.000155
116,2021-04-27,0.999841
117,2021-04-28,1.000163
118,2021-04-29,0.999814
119,2021-04-30,1.000044
120,2021-05-01,0.999871
121,2021-05-02,0.999912
122,2021-05-03,0.999959
123,2021-05-04,0.999931
124,2021-05-05,0.999983
125,2021-05-06,1.000069
126,2021-05-07,1.000048
127,2021-05-08,0.999949
128,2021-05-09,1.000168
129,2021-05-10,0.999801
130,2021-05-11,0.999813
131,2021-05-12,1.000067
132,2021-05-13,0.99992
133,2021-05-14,1.000096
134,2021-05-15,0.99996
135,2021-05-16,1.000124
136,2021-05-17,0.999851
137,2021-05-18,0.999983
138,2021-05-19,1.00062
139,2021-05-20,1.001725
140,2021-05-21,1.001907
141,2021-05-22,1.001962
142,2021-05-23,1.001569
143,2021-05-24,1.001623
144,2021-05-25,1.001424
145,2021-05-26,1.001113
146,2021-05-27,1.001789
147,2021-05-28,1.000907
148,2021-05-29,1.0005
149,2021-05-30,1.000372
150,2021-05-31,0.999986
151,2021-06-01,1.000478
152,2021-06-02,1.000071
153,2021-06-03,1.000365
154,2021-06-04,1.000455
155,2021-06-05,1.001146
156,2021-06-06,1.00047
157,2021-06-07,1.000853
158,2021-06-08,1.000729
159,2021-06-09,1.001213
160,2021-06-10,1.000532
161,2021-06-11,1.000764
162,2021-06-12,1.000485
163,2021-06-13,1.001137
164,2021-06-14,0.999695
165,2021-06-15,1.000465
166,2021-06-16,1.000388
167,2021-06-17,1.000112
168,2021-06-18,1.000704
169,2021-06-19,1.001646
170,2021-06-20,1.001548
171,2021-06-21,1.000914
172,2021-06-22,1.000156
173,2021-06-23,1.000962
174,2021-06-24,1.000726
175,2021-06-25,1.000093
176,2021-06-26,0.999855
177,2021-06-27,1.00126
178,2021-06-28,1.000689
179,2021-06-29,0.999951
180,2021-06-30,1.000053
181,2021-07-01,1.000201
182,2021-07-02,1.000301
183,2021-07-03,1.000046
184,2021-07-04,0.999987
185,2021-07-05,0.999426
186,2021-07-06,1.000728
187,2021-07-07,1.000022
188,2021-07-08,1.000628
189,2021-07-09,0.999897
190,2021-07-10,0.999733
191,2021-07-11,1.000051
192,2021-07-12,1.000234
193,2021-07-13,1.00036
194,2021-07-14,1.00002
195,2021-07-15,1.000124
196,2021-07-16,0.999954
197,2021-07-17,1.000366
198,2021-07-18,1.000558
199,2021-07-19,1.000645
200,2021-07-20,1.000111
201,2021-07-21,1.000292
202,2021-07-22,1.000208
203,2021-07-23,1.000265
204,2021-07-24,1.000295
205,2021-07-25,1.000692
206,2021-07-26,1.000184
207,2021-07-27,1.000104
208,2021-07-28,1.000085
209,2021-07-29,1.000073
210,2021-07-30,1.000299
211,2021-07-31,1.000385
212,2021-08-01,1.000449
213,2021-08-02,1.000393
214,2021-08-03,1.000576
215,2021-08-04,1.000289
216,2021-08-05,1.000125
217,2021-08-06,1.000077
218,2021-08-07,1.000336
219,2021-08-08,1.000538
220,2021-08-09,1.000114
221,2021-08-10,1.000172
222,2021-08-11,1.000275
223,2021-08-12,1.000515
224,2021-08-13,1.000653
225,2021-08-14,1.000186
226,2021-08-15,1.000689
227,2021-08-16,1.000568
228,2021-08-17,1.000387
229,2021-08-18,1.000164
230,2021-08-19,1.0005
231,2021-08-20,0.999778
232,2021-08-21,1.00059
233,2021-08-22,1.000669
234,2021-08-23,1.000872
235,2021-08-24,1.000764
236,2021-08-25,1.000429
237,2021-08-26,1.000233
238,2021-08-27,1.000399
239,2021-08-28,1.000405
240,2021-08-29,1.000575
241,2021-08-30,1.001098
242,2021-08-31,1.000618
243,2021-09-01,1.000632
244,2021-09-02,1.000352
245,2021-09-03,1.00038
246,2021-09-04,1.000295
247,2021-09-05,1.000512
248,2021-09-06,1.000288
249,2021-09-07,1.000024
250,2021-09-08,1.00069
251,2021-09-09,1.000329
252,2021-09-10,1.000172
253,2021-09-11,1.000298
254,2021-09-12,1.001041
255,2021-09-13,0.999625
256,2021-09-14,1.000313
257,2021-09-15,1.000516
258,2021-09-16,1.000332
259,2021-09-17,1.000294
260,2021-09-18,0.999625
261,2021-09-19,0.99949
262,2021-09-20,1.000342
263,2021-09-21,1.000048
264,2021-09-22,1.00005
265,2021-09-23,1.000043
266,2021-09-24,1.000594
267,2021-09-25,1.000904
268,2021-09-26,1.000905
269,2021-09-27,1.000751
270,2021-09-28,1.000461
271,2021-09-29,1.000403
272,2021-09-30,1.000382
273,2021-10-01,1.000115
274,2021-10-02,1.000107
275,2021-10-03,1.000422
276,2021-10-04,1.000259
277,2021-10-05,0.999858
278,2021-10-06,1.000456
279,2021-10-07,1.000477
280,2021-10-08,1.000406
281,2021-10-09,1.000004
282,2021-10-10,1.000128
283,2021-10-11,1.000952
284,2021-10-12,1.000619
285,2021-10-13,0.99992
286,2021-10-14,1.000062
287,2021-10-15,0.999977
288,2021-10-16,0.999135
289,2021-10-17,1.00001
290,2021-10-18,1.00033
291,2021-10-19,1.000059
292,2021-10-20,1.000137
293,2021-10-21,0.999877
294,2021-10-22,1.000024
295,2021-10-23,0.999924
296,2021-10-24,1.000856
297,2021-10-25,1.000219
298,2021-10-26,0.999451
299,2021-10-27,1.000239
300,2021-10-28,1.000801
301,2021-10-29,1.000428
302,2021-10-30,1.000072
303,2021-10-31,1.000384
304,2021-11-01,1.000382
305,2021-11-02,1.000369
306,2021-11-03,1.000822
307,2021-11-04,1.000648
308,2021-11-05,1.000975
309,2021-11-06,1.001545
310,2021-11-07,1.001316
311,2021-11-08,1.001423
312,2021-11-09,1.000522
313,2021-11-10,1.000101
314,2021-11-11,1.000357
315,2021-11-12,1.001448
316,2021-11-13,0.999111
317,2021-11-14,1.000842
318,2021-11-15,1.00026
319,2021-11-16,1.001457
320,2021-11-17,1.000489
321,2021-11-18,1.000169
322,2021-11-19,1.00007
323,2021-11-20,1.00068
324,2021-11-21,0.999638
325,2021-11-22,1.001288
326,2021-11-23,1.000507
327,2021-11-24,0.999986
328,2021-11-25,0.999483
329,2021-11-26,1.000986
330,2021-11-27,1.000287
331,2021-11-28,1.001281
332,2021-11-29,0.999929
333,2021-11-30,1.000583
334,2021-12-01,1.000449
335,2021-12-02,1.000234
336,2021-12-03,0.999993
337,2021-12-04,1.000505
338,2021-12-05,0.999861
339,2021-12-06,1.000632
340,2021-12-07,1.00124
341,2021-12-08,1.000941
